HESA tariff status,Qualification,QUALTYPE,QUALGRADE,Tariff points
1,1st4sport Level 3 Award in Employment Awareness in Active Leisure and Learning,5Q,P,8
1,1st4sport Level 3 Certificate in Achieving Excellence in Sports Performance,5L,P,16
1,1st4sport Level 3 Certificate in Coaching Tennis,GY,P,16
1,1st4sport Level 3 Certificate in Understanding Sports Performance,5M,P,24
1,1st4sport Level 3 Certificate in Sports Coaching and Performance (603/4831/8),TR,P,32
1,1st4sport Level 3 Diploma in Sport and Physical Activities,5N,D,96
1,1st4sport Level 3 Diploma in Sport and Physical Activities,5N,M,64
1,1st4sport Level 3 Diploma in Sport and Physical Activities,5N,P,32
1,1st4sport Level 3 Diploma in Sports Performance and Excellence,5P,D,96
1,1st4sport Level 3 Diploma in Sports Performance and Excellence,5P,M,64
1,1st4sport Level 3 Diploma in Sports Performance and Excellence,5P,P,32
1,1st4sport Level 3 Diploma in Sporting Excellence,OR,P,64
1,1st4sport Level 3 NVQ Diploma in Supporting the Delivery of Physical Education and School Sport,5R,P,24
1,1st4sport Level 3 NVQ Diploma in Sports Development,5S,P,24
1,A Level Double Award (Reformed),D1,A*A*,112
1,A Level Double Award (Reformed),D1,A*A,104
1,A Level Double Award (Reformed),D1,AA,96
1,A Level Double Award (Reformed),D1,AB,88
1,A Level Double Award (Reformed),D1,BB,80
1,A Level Double Award (Reformed),D1,BC,72
1,A Level Double Award (Reformed),D1,CC,64
1,A Level Double Award (Reformed),D1,CD,56
1,A Level Double Award (Reformed),D1,DD,48
1,A Level Double Award (Reformed),D1,DE,40
1,A Level Double Award (Reformed),D1,EE,32
1,AAT Advanced Diploma in Accounting - Level 3,CH,D,56
1,AAT Advanced Diploma in Accounting - Level 3,CH,M,48
1,AAT Advanced Diploma in Accounting - Level 3,CH,P,40
1,Level 3 Diploma in Fashion Retail,FR,D,72
1,Level 3 Diploma in Fashion Retail,FR,Dist,72
1,Level 3 Diploma in Fashion Retail,FR,Distinction,72
1,Level 3 Diploma in Fashion Retail,FR,M,48
1,Level 3 Diploma in Fashion Retail,FR,Merit,48
1,Level 3 Diploma in Fashion Retail,FR,P,24
1,Level 3 Diploma in Fashion Retail,FR,Pass,24
1,ABC Level 3 Diploma In Fabrication and Welding Practice (QCF),AU,P,32
1,ABC Level 3 Foundation Diploma in Art Design and Media,FT,D,112
1,ABC Level 3 Foundation Diploma in Art Design and Media,FT,M,96
1,ABC Level 3 Foundation Diploma in Art Design and Media,FT,P,80
1,Access to HE Diploma (West Midlands),Y2,D45M0P0,144
1,Access to HE Diploma (West Midlands),Y2,D42M3P0,141
1,Access to HE Diploma (West Midlands),Y2,D39M6P0,138
1,Access to HE Diploma (West Midlands),Y2,D42M0P3,138
1,Access to HE Diploma (West Midlands),Y2,D36M9P0,134
1,Access to HE Diploma (West Midlands),Y2,D39M3P3,134
1,Access to HE Diploma (West Midlands),Y2,D33M12P0,131
1,Access to HE Diploma (West Midlands),Y2,D36M6P3,131
1,Access to HE Diploma (West Midlands),Y2,D39M0P6,131
1,Access to HE Diploma (West Midlands),Y2,D30M15P0,128
1,Access to HE Diploma (West Midlands),Y2,D33M9P3,128
1,Access to HE Diploma (West Midlands),Y2,D36M3P6,128
1,Access to HE Diploma (West Midlands),Y2,D27M18P0,125
1,Access to HE Diploma (West Midlands),Y2,D30M12P3,125
1,Access to HE Diploma (West Midlands),Y2,D33M6P6,125
1,Access to HE Diploma (West Midlands),Y2,D36M0P9,125
1,Access to HE Diploma (West Midlands),Y2,D24M21P0,122
1,Access to HE Diploma (West Midlands),Y2,D27M15P3,122
1,Access to HE Diploma (West Midlands),Y2,D30M9P6,122
1,Access to HE Diploma (West Midlands),Y2,D33M3P9,122
1,Access to HE Diploma (West Midlands),Y2,D21M24P0,118
1,Access to HE Diploma (West Midlands),Y2,D24M18P3,118
1,Access to HE Diploma (West Midlands),Y2,D27M12P6,118
1,Access to HE Diploma (West Midlands),Y2,D30M6P9,118
